Count | Text | Depth | URL
182 | doi | 1 | https://en.wikipedia.org/wiki/Digital_object_identifier
183 | OCLC | 1 | https://en.wikipedia.org/wiki/OCLC
184 | Perkins Observatory | 1 | https://en.wikipedia.org/wiki/Perkins_Observatory
185 | B&H Photo Video | 1 | https://en.wikipedia.org/wiki/B%26H_Photo_Video
186 | Phil. Trans. Roy. Soc. A | 1 | https://en.wikipedia.org/wiki/Philosophical_Transactions_of_the_Royal_Society_A
187 | Physical Review D | 1 | https://en.wikipedia.org/wiki/Physical_Review_D
188 | arXiv | 1 | https://en.wikipedia.org/wiki/ArXiv
189 | Astronomy Picture of the Day | 1 | https://en.wikipedia.org/wiki/Astronomy_Picture_of_the_Day
190 | European Network of Transmission System Operators for Electricity | 1 | https://en.wikipedia.org/wiki/European_Network_of_Transmission_System_Operators_for_Electricity
191 | Proceedings of the Royal Society | 1 | https://en.wikipedia.org/wiki/Proceedings_of_the_Royal_Society
192 | Steel, Duncan | 1 | https://en.wikipedia.org/wiki/Duncan_Steel
193 | Collier's New Encyclopedia | 1 | https://en.wikipedia.org/wiki/Collier%27s_Encyclopedia
194 | YouTube | 1 | https://en.wikipedia.org/wiki/YouTube
195 | France | 2 | https://en.wikipedia.org/wiki/France
196 | Gamma | 2 | https://en.wikipedia.org/wiki/Gamma_(eclipse)
197 | Magnitude | 2 | https://en.wikipedia.org/wiki/Magnitude_of_eclipse
198 | UTC | 2 | https://en.wikipedia.org/wiki/UTC
199 | 145 | 2 | https://en.wikipedia.org/wiki/Solar_Saros_145
200 | apparent diameter | 2 | https://en.wikipedia.org/wiki/Apparent_diameter
201 | Atlantic Ocean | 2 | https://en.wikipedia.org/wiki/Atlantic_Ocean
202 | United Kingdom | 2 | https://en.wikipedia.org/wiki/United_Kingdom
203 | Belgium | 2 | https://en.wikipedia.org/wiki/Belgium
204 | Luxembourg | 2 | https://en.wikipedia.org/wiki/Luxembourg
205 | Germany | 2 | https://en.wikipedia.org/wiki/Germany
206 | Austria | 2 | https://en.wikipedia.org/wiki/Austria
207 | Slovenia | 2 | https://en.wikipedia.org/wiki/Slovenia
208 | Croatia | 2 | https://en.wikipedia.org/wiki/Croatia
209 | Hungary | 2 | https://en.wikipedia.org/wiki/Hungary
210 | FR Yugoslavia | 2 | https://en.wikipedia.org/wiki/FR_Yugoslavia
211 | Vojvodina | 2 | https://en.wikipedia.org/wiki/Vojvodina
212 | Romania | 2 | https://en.wikipedia.org/wiki/Romania
213 | Ocnele Mari | 2 | https://en.wikipedia.org/wiki/Ocnele_Mari
214 | Râmnicu Vâlcea | 2 | https://en.wikipedia.org/wiki/R%C3%A2mnicu_V%C3%A2lcea
215 | Bulgaria | 2 | https://en.wikipedia.org/wiki/Bulgaria
216 | Black Sea | 2 | https://en.wikipedia.org/wiki/Black_Sea
217 | Syria | 2 | https://en.wikipedia.org/wiki/Syria
218 | Iraq | 2 | https://en.wikipedia.org/wiki/Iraq
219 | Iran | 2 | https://en.wikipedia.org/wiki/Iran
220 | Pakistan | 2 | https://en.wikipedia.org/wiki/Pakistan
221 | Srikakulam | 2 | https://en.wikipedia.org/wiki/Srikakulam
222 | India | 2 | https://en.wikipedia.org/wiki/India
223 | Bay of Bengal | 2 | https://en.wikipedia.org/wiki/Bay_of_Bengal
224 | 22 July 1990 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_July_22,_1990
225 | 29 June 1927 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_June_29,_1927
226 | human history | 2 | https://en.wikipedia.org/wiki/Human_history
227 | BBC | 2 | https://en.wikipedia.org/wiki/BBC
228 | Cornwall | 2 | https://en.wikipedia.org/wiki/Cornwall
229 | St Ives | 2 | https://en.wikipedia.org/wiki/St_Ives,_Cornwall
230 | Lizard | 2 | https://en.wikipedia.org/wiki/Lizard_(village)
231 | Patrick Moore | 2 | https://en.wikipedia.org/wiki/Patrick_Moore
232 | BBC One | 2 | https://en.wikipedia.org/wiki/BBC_One
233 | Balloon Idents | 2 | https://en.wikipedia.org/wiki/BBC_One_%27Balloon%27_idents
234 | Goonhilly | 2 | https://en.wikipedia.org/wiki/Goonhilly_Satellite_Earth_Station
235 | Lizard Peninsula | 2 | https://en.wikipedia.org/wiki/The_Lizard
236 | Channel | 2 | https://en.wikipedia.org/wiki/English_Channel
237 | Alderney | 2 | https://en.wikipedia.org/wiki/Alderney
238 | Perranporth | 2 | https://en.wikipedia.org/wiki/Perranporth
239 | Soissons | 2 | https://en.wikipedia.org/wiki/Soissons
240 | Amiens | 2 | https://en.wikipedia.org/wiki/Amiens
241 | Vouziers | 2 | https://en.wikipedia.org/wiki/Vouziers
242 | Sky at Night | 2 | https://en.wikipedia.org/wiki/The_Sky_at_Night
243 | Exploratorium | 2 | https://en.wikipedia.org/wiki/Exploratorium
244 | Amasya | 2 | https://en.wikipedia.org/wiki/Amasya
245 | Doordarshan | 2 | https://en.wikipedia.org/wiki/Doordarshan
246 | Mona Bhattacharya | 2 | https://en.wikipedia.org/wiki/Monoranjan_Bhattacharya
247 | Bulgarian Air Force | 2 | https://en.wikipedia.org/wiki/Bulgarian_Air_Force
248 | MiG-21 | 2 | https://en.wikipedia.org/wiki/Mikoyan-Gurevich_MiG-21
249 | Bulgarian Academy of Sciences | 2 | https://en.wikipedia.org/wiki/Bulgarian_Academy_of_Sciences
250 | infrared | 2 | https://en.wikipedia.org/wiki/Infrared
251 | Digital8 | 2 | https://en.wikipedia.org/wiki/Digital8
252 | Lake Balaton | 2 | https://en.wikipedia.org/wiki/Lake_Balaton
253 | Airport | 2 | https://en.wikipedia.org/wiki/Airport_(TV_series)
254 | Heathrow Airport | 2 | https://en.wikipedia.org/wiki/Heathrow_Airport
255 | Aeroflot | 2 | https://en.wikipedia.org/wiki/Aeroflot
256 | Jeremy Spake | 2 | https://en.wikipedia.org/wiki/Jeremy_Spake
257 | RTS | 2 | https://en.wikipedia.org/wiki/Radio_Television_of_Serbia
258 | Serbia | 2 | https://en.wikipedia.org/wiki/Serbia
259 | The BMJ | 2 | https://en.wikipedia.org/wiki/The_BMJ
260 | Paderborn, Germany | 2 | https://en.wikipedia.org/wiki/Paderborn,_Germany
261 | 2,000 lei | 2 | https://en.wikipedia.org/wiki/Two_thousand_lei
262 | note | 2 | https://en.wikipedia.org/wiki/Banknote
263 | Chita, Russia | 2 | https://en.wikipedia.org/wiki/Chita,_Zabaykalsky_Krai
264 | March 9, 1997 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_March_9,_1997
265 | September 2, 1997 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_September_2,_1997
266 | February 26, 1998 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_February_26,_1998
267 | August 22, 1998 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_August_22,_1998
268 | February 16, 1999 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_February_16,_1999
269 | February 5, 2000 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_February_5,_2000
270 | July 31, 2000 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_July_31,_2000
271 | July 1, 2000 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_July_1,_2000
272 | December 25, 2000 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_December_25,_2000
273 | June 17, 1909 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_June_17,_1909
274 | July 9, 1945 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_July_9,_1945
275 | July 20, 1963 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_July_20,_1963
276 | July 31, 1981 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_July_31,_1981
277 | August 21, 2017 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_August_21,_2017
278 | September 2, 2035 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_September_2,_2035
279 | September 12, 2053 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_September_12,_2053
280 | September 23, 2071 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_September_23,_2071
281 | October 4, 2089 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_October_4,_2089
282 | metonic series | 2 | https://en.wikipedia.org/wiki/Metonic_cycle
283 | August 12, 1942 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_August_12,_1942
284 | May 30, 1946 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_May_30,_1946
285 | March 18, 1950 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_March_18,_1950
286 | January 5, 1954 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_January_5,_1954
287 | October 23, 1957 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_October_23,_1957
288 | August 11, 1961 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_August_11,_1961
289 | May 30, 1965 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_May_30,_1965
290 | March 18, 1969 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_March_18,_1969
291 | January 4, 1973 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_January_4,_1973
292 | October 23, 1976 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_October_23,_1976
293 | August 10, 1980 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_August_10,_1980
294 | May 30, 1984 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_May_30,_1984
295 | March 18, 1988 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_March_18,_1988
296 | January 4, 1992 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_January_4,_1992
297 | October 24, 1995 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_October_24,_1995
298 | May 31, 2003 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_May_31,_2003
299 | March 19, 2007 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_March_19,_2007
300 | January 4, 2011 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_January_4,_2011
301 | August 11, 2018 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_August_11,_2018
302 | List of solar eclipses visible from the United Kingdom | 2 | https://en.wikipedia.org/wiki/List_of_solar_eclipses_visible_from_the_United_Kingdom
303 | Vice | 2 | https://en.wikipedia.org/wiki/Vice_(magazine)
304 | PMC | 2 | https://en.wikipedia.org/wiki/PubMed_Central
305 | PMID | 2 | https://en.wikipedia.org/wiki/PubMed_Identifier
306 | GSFC | 2 | https://en.wikipedia.org/wiki/GSFC
307 | APOD | 2 | https://en.wikipedia.org/wiki/APOD
308 | Quebec | 2 | https://en.wikipedia.org/wiki/Quebec
309 | Canada | 2 | https://en.wikipedia.org/wiki/Canada
310 | loop | 2 | https://en.wikipedia.org/wiki/Coronal_loops
311 | ionized | 2 | https://en.wikipedia.org/wiki/Ionized
312 | gases | 2 | https://en.wikipedia.org/wiki/Gas
313 | plasma | 2 | https://en.wikipedia.org/wiki/Plasma_(physics)
314 | visible light | 2 | https://en.wikipedia.org/wiki/Visible_light
315 | coronal mass ejections | 2 | https://en.wikipedia.org/wiki/Coronal_mass_ejection
316 | Laurentian Codex | 2 | https://en.wikipedia.org/wiki/Laurentian_Codex
317 | Solar eclipse of 1 May 1185 | 2 | https://en.wikipedia.org/wiki/Solar_eclipse_of_1_May_1185
318 | Skylab | 2 | https://en.wikipedia.org/wiki/Skylab
319 | Universe Today | 2 | https://en.wikipedia.org/wiki/Universe_Today
320 | USSR Academy of Sciences | 2 | https://en.wikipedia.org/wiki/Russian_Academy_of_Sciences
321 | Cambridge University Press | 2 | https://en.wikipedia.org/wiki/Cambridge_University_Press
322 | Tandberg-Hanssen, Einar | 2 | https://en.wikipedia.org/wiki/Einar_Tandberg-Hanssen
323 | naked eye | 2 | https://en.wikipedia.org/wiki/Naked_eye
324 | crown | 2 | https://en.wikipedia.org/wiki/Crown_(headgear)
325 | stars | 2 | https://en.wikipedia.org/wiki/Star
326 | coronagraph | 2 | https://en.wikipedia.org/wiki/Coronagraph
327 | Latin | 2 | https://en.wikipedia.org/wiki/Latin_language
328 | Ancient Greek | 2 | https://en.wikipedia.org/wiki/Ancient_Greek
329 | spectral | 2 | https://en.wikipedia.org/wiki/Spectroscopy
330 | coronium | 2 | https://en.wikipedia.org/wiki/Coronium
331 | highly ionized | 2 | https://en.wikipedia.org/wiki/Highly_charged_ion
332 | iron | 2 | https://en.wikipedia.org/wiki/Iron
333 | Bengt Edlén | 2 | https://en.wikipedia.org/wiki/Bengt_Edl%C3%A9n
334 | Å | 2 | https://en.wikipedia.org/wiki/%C3%85ngstr%C3%B6m
335 | ionisation | 2 | https://en.wikipedia.org/wiki/Ionisation
336 | kelvin | 2 | https://en.wikipedia.org/wiki/Kelvin
337 | scattering | 2 | https://en.wikipedia.org/wiki/Scattering_(physics)
338 | electrons | 2 | https://en.wikipedia.org/wiki/Electron
339 | Doppler broadening | 2 | https://en.wikipedia.org/wiki/Doppler_broadening
340 | absorption lines | 2 | https://en.wikipedia.org/wiki/Absorption_line
341 | Fraunhofer | 2 | https://en.wikipedia.org/wiki/Joseph_von_Fraunhofer
342 | elongation | 2 | https://en.wikipedia.org/wiki/Elongation_(astronomy)
343 | zodiacal light | 2 | https://en.wikipedia.org/wiki/Zodiacal_light
